State,"18 or Older
Estimate","18 or Older
95% CI (Lower)","18 or Older
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26 or Older
Estimate","26 or Older
95% CI (Lower)","26 or Older
95% CI (Upper)",Total Population,Total Poverty,People Below Poverty Level,Per Capita Income,Total Labor Force,Total Employed Civilian,Unemployment Civilian,Armed Forces Employment,Total Not Labor Force,Total Houses,Houses with owners,Houses with renters,Houses with mortgage,Total People,Total People with insurance,Total People withou insurance,state
New Mexico,17.73%,15.88%,19.74%,24.08%,21.03%,27.41%,16.68%,14.63%,18.96%,2082669.0,2042014.0,426814.0,24459.0,1637594.0,876210.0,81175.0,8992.0,671217.0,762551.0,516819.0,245732.0,292010.0,2048093.0,243055.0,1805038.0,35
New York,17.61%,16.39%,18.91%,23.63%,21.68%,25.70%,16.63%,15.25%,18.11%,19697457.0,19186062.0,2967564.0,34212.0,15964950.0,9340878.0,759224.0,22976.0,5841872.0,7266187.0,3894613.0,3371574.0,2439349.0,19453583.0,2694107.0,16759476.0,36
North Carolina,18.02%,16.41%,19.75%,22.32%,19.66%,25.23%,17.34%,15.56%,19.28%,9940828.0,9685511.0,1631704.0,26779.0,7907915.0,4460824.0,404584.0,82857.0,2959650.0,3815392.0,2471723.0,1343669.0,1599623.0,9745671.0,1227583.0,8518088.0,37
North Dakota,18.30%,16.46%,20.31%,23.90%,20.84%,27.25%,17.15%,15.04%,19.49%,736162.0,710355.0,79314.0,33107.0,585370.0,395584.0,11250.0,6097.0,172439.0,305163.0,193909.0,111254.0,102847.0,720312.0,92651.0,627661.0,38
Ohio,19.85%,18.49%,21.29%,25.42%,23.31%,27.65%,18.97%,17.44%,20.60%,11586941.0,11267500.0,1732839.0,27800.0,9255859.0,5425647.0,423956.0,8117.0,3398139.0,4601449.0,3035485.0,1565964.0,1954752.0,11413979.0,1353834.0,10060145.0,39
Oklahoma,20.02%,17.98%,22.22%,23.59%,20.54%,26.94%,19.40%,17.10%,21.93%,3875589.0,3760050.0,621155.0,25628.0,3025259.0,1733000.0,110120.0,18115.0,1164024.0,1461500.0,960161.0,501339.0,543373.0,3794815.0,511928.0,3282887.0,40
Oregon,23.59%,21.31%,26.03%,27.85%,24.36%,31.63%,22.95%,20.44%,25.66%,3982267.0,3905386.0,614223.0,28822.0,3219754.0,1832620.0,160797.0,2520.0,1223817.0,1545745.0,948587.0,597158.0,635541.0,3943363.0,540930.0,3402433.0,41
Pennsylvania,17.98%,16.64%,19.40%,24.38%,22.17%,26.72%,16.99%,15.51%,18.59%,12783977.0,12369671.0,1647762.0,30137.0,10402780.0,6043693.0,468440.0,4782.0,3885865.0,4961929.0,3425706.0,1536223.0,2090142.0,12579598.0,1720122.0,10859476.0,42
Rhode Island,19.59%,17.60%,21.76%,24.76%,21.61%,28.20%,18.67%,16.42%,21.14%,1054491.0,1013916.0,140161.0,31904.0,868361.0,520482.0,43600.0,3203.0,301076.0,410240.0,244748.0,165492.0,170131.0,1038432.0,139696.0,898736.0,44
South Carolina,18.56%,16.63%,20.66%,23.73%,20.79%,26.95%,17.76%,15.61%,20.12%,4834605.0,4693266.0,806422.0,25521.0,3871553.0,2129323.0,194454.0,30595.0,1517181.0,1839041.0,1258661.0,580380.0,748501.0,4736274.0,650297.0,4085977.0,45
South Dakota,17.70%,15.82%,19.76%,23.75%,20.76%,27.03%,16.68%,14.58%,19.01%,851058.0,822334.0,115300.0,27516.0,663635.0,434693.0,18636.0,2607.0,207699.0,333536.0,226145.0,107391.0,127191.0,833674.0,95721.0,737953.0,46
Tennessee,19.24%,17.37%,21.26%,23.90%,20.84%,27.24%,18.50%,16.42%,20.79%,6548009.0,6386751.0,1100169.0,26019.0,5222438.0,2937131.0,238372.0,17933.0,2029002.0,2522204.0,1673043.0,849161.0,1011470.0,6445597.0,822630.0,5622967.0,47
Texas,16.32%,15.22%,17.49%,21.62%,19.79%,23.57%,15.37%,14.14%,16.69%,26956435.0,26334005.0,4397307.0,27828.0,20599223.0,12371392.0,848131.0,92754.0,7286946.0,9289554.0,5747458.0,3542096.0,3389912.0,26478868.0,2967668.0,23511200.0,48
Utah,23.47%,21.50%,25.57%,28.99%,25.46%,32.79%,22.24%,19.98%,24.69%,2948427.0,2901465.0,338808.0,25600.0,2136930.0,1374146.0,73114.0,4079.0,685591.0,918367.0,638767.0,279600.0,455232.0,2922538.0,314815.0,2607723.0,49
Vermont,19.84%,17.87%,21.96%,30.05%,26.33%,34.05%,18.06%,15.88%,20.47%,626249.0,601538.0,69673.0,30663.0,520197.0,327237.0,17087.0,406.0,175467.0,257107.0,181461.0,75646.0,115802.0,620216.0,75605.0,544611.0,50
Virginia,18.78%,17.18%,20.50%,25.39%,22.75%,28.23%,17.72%,15.92%,19.68%,8310301.0,8060892.0,921664.0,34967.0,6653111.0,4036456.0,255340.0,111328.0,2249987.0,3090178.0,2032761.0,1057417.0,1426042.0,8096958.0,1115904.0,6981054.0,51
Washington,22.81%,20.50%,25.31%,24.81%,21.49%,28.46%,22.51%,19.91%,25.33%,7073146.0,6939622.0,883256.0,32999.0,5647697.0,3331321.0,244692.0,47291.0,2024393.0,2696606.0,1683381.0,1013225.0,1168842.0,6967768.0,921090.0,6046678.0,53
West Virginia,22.89%,20.69%,25.25%,23.96%,20.82%,27.41%,22.73%,20.27%,25.39%,1846092.0,1792808.0,318060.0,24002.0,1509212.0,750412.0,61215.0,853.0,696732.0,739397.0,535940.0,203457.0,255046.0,1817156.0,197562.0,1619594.0,54
Wisconsin,18.54%,16.67%,20.58%,25.53%,22.38%,28.95%,17.40%,15.34%,19.66%,5754798.0,5603274.0,713472.0,29253.0,4603725.0,2910339.0,169426.0,2421.0,1521539.0,2310246.0,1547633.0,762613.0,1007824.0,5681891.0,686755.0,4995136.0,55
Wyoming,20.25%,18.22%,22.44%,26.55%,23.42%,29.93%,19.25%,16.97%,21.76%,583029.0,568943.0,65762.0,30139.0,459198.0,293598.0,15118.0,2388.0,148094.0,226985.0,155741.0,71244.0,90072.0,573538.0,71020.0,502518.0,56
Puerto Rico,,,,,,,,,,3529385.0,3496728.0,1577075.0,11688.0,2863657.0,1055106.0,226880.0,1204.0,1580467.0,1237180.0,848735.0,388445.0,344404.0,3502814.0,241097.0,3261717.0,72
